iter	RMSE
0	169265001.7
1	168339741.3
2	167110695
3	165909006.3
4	165193537.2
5	163915019.3
6	163179181.1
7	162273585.9
8	161182592.7
9	160493551.4
10	159341752.3
11	158719411.4
12	157855655.2
13	157032127.6
14	155973809.9
15	155193120.1
16	154266507.2
17	153443743
18	152299287.1
19	151266370.9
20	150579861.2
21	149886613.3
22	149099662.9
23	148437131.5
24	147712556.2
25	146583670.1
26	145915605.8
27	144830888.4
28	144057275.1
29	143363506.5
30	142665324.1
31	141870674
32	141208670.9
33	140435554
34	139572431.8
35	138988581.3
36	138312677.1
37	137679571.8
38	136839172.4
39	135922569.2
40	135027729.7
41	134244474
42	133672893.4
43	133053663.4
44	132507303.4
45	131957742.8
46	131165828.8
47	130585755.3
48	130017255.6
49	129116671.2
50	128387417.3
51	127595100.6
52	126642111.6
53	125867279.8
54	125260314.6
55	124494936.2
56	123999395.7
57	123163206
58	122639471.5
59	122132200.7
60	121694738.5
61	121196316.4
62	120577681.6
63	119907117
64	119485154.2
65	118605087.5
66	118265252.1
67	117864313.9
68	117370229.6
69	116972287.8
70	116643019.1
71	116289802.5
72	115756983.3
73	115412250.3
74	115114237.5
75	114431332.6
76	113848937.9
77	113361053.1
78	112935445.2
79	112487797.9
80	112069180.5
81	111766011.9
82	111152580.9
83	110802920.5
84	110439596.8
85	109749887.8
86	109402961.9
87	109054092.6
88	108680631.1
89	108252699.8
90	107914732.8
91	107239753.3
92	106420717.9
93	105539818.9
94	104715835
95	104342803.2
96	103839806.3
97	103132180.1
98	102689959.4
99	102183607.3
100	101537522.2
101	101043039
102	100438703.3
103	100089691.4
104	99774824.06
105	99460905.85
106	98864576.56
107	98558258.58
108	98288995.27
109	97871181.46
110	97166142.61
111	96540795.7
112	95865963.84
113	95464461.34
114	94757532.89
115	94128809.17
116	93767583.52
117	93132082.28
118	92516614.94
119	92168660.43
120	91874967.84
121	91523149.67
122	91046925.75
123	90628776.17
124	90103781.36
125	89723862.11
126	89458372.29
127	89141905.13
128	88809555.37
129	88588106.82
130	88010679.04
131	87526025.15
132	87158561.83
133	86916712.38
134	86676267.97
135	86379733.03
136	86166905.2
137	85905353.27
138	85512579.85
139	85143152.01
140	84949325.1
141	84726087.39
142	84351918.74
143	83970138.43
144	83458262.04
145	83218323.93
146	83029297.8
147	82621676.19
148	82266998.48
149	81876340.5
150	81618310.52
151	81455953.32
152	81086321.33
153	80836059.14
154	80273926.03
155	80081392.8
156	79858222.99
157	79686807.71
158	79286162.62
159	79084604.78
160	78815472.38
161	78436958.93
162	78054021.68
163	77793628.67
164	77503637.74
165	77094529.1
166	76956557.73
167	76692783.04
168	76336379.23
169	76202025.88
170	76054213.78
171	75891708.81
172	75765032.88
173	75412713.01
174	74924810.23
175	74773188.5
176	74501268.88
177	74161745.1
178	73790444.87
179	73544155.6
180	73394148.23
181	73282593.29
182	73141971.93
183	72994229.74
184	72868080.93
185	72622416.3
186	72455711.44
187	72269617.84
188	71881662.46
189	71717824.61
190	71371783.51
191	71252997.2
192	71028223.98
193	70823127.95
194	70598421.72
195	70414827.91
196	70025380.99
197	69584586.08
198	69451725.81
199	69098906.73
200	68610386.89
201	68474447.18
202	68347489.29
203	68008842.34
204	67888615.35
205	67755892
206	67611686.89
207	67505492.62
208	67423391.31
209	67017025.06
210	66917864.38
211	66439658.98
212	66052931.36
213	65704857.72
214	65594210.26
215	65459460.51
216	65350862.23
217	65053206.92
218	64674658.75
219	64568070.53
220	64269365.5
221	64164488.78
222	64027565.03
223	63867841.36
224	63695089.55
225	63483748.83
226	63341616.48
227	63247950.54
228	63152556.7
229	62857655.24
230	62525029.13
231	62442741.91
232	62277641.45
233	62024546.28
234	61873559.87
235	61560464.07
236	61477050.48
237	61023576.97
238	60792057.4
239	60349625.92
240	60061653.88
241	59962589.46
242	59524027.44
243	59355640.06
244	59260569.64
245	59118536.26
246	58853460.72
247	58564120.46
248	58251770.77
249	57935427.98
250	57857169.89
251	57598784.53
252	57210391.44
253	57130527.91
254	56998262.25
255	56817044.03
256	56616573.24
257	56532616.38
258	56220637.04
259	56032328.09
260	55962671.93
261	55646231.48
262	55546123.66
263	55293619.58
264	55227943.68
265	55161337.79
266	55014989.08
267	54820525.04
268	54697183.01
269	54440835.86
270	54302722.11
271	54118085.35
272	53868528.28
273	53811266.3
274	53624880.05
275	53393889.58
276	53338049.91
277	53255987.06
278	52979527.26
279	52718468.03
280	52460058.77
281	52242132.06
282	52118967.3
283	51939545.57
284	51887327.88
285	51826850.36
286	51634000.71
287	51473724.01
288	51295147.88
289	51121103.64
290	50968901.59
291	50719295.87
292	50503896.9
293	50190545.78
294	50128120.12
295	50068732.17
296	49923295.53
297	49774374.16
298	49630197.14
299	49474791.38
300	49377170.18
301	49232683.16
302	49182400.16
303	49127814.4
304	48933875.47
305	48883502.34
306	48829201.46
307	48698084.17
308	48512375.73
309	48366896.72
310	48313994.51
311	48202765.52
312	48060953.21
313	47945150.03
314	47897929.56
315	47769613.04
316	47596845.85
317	47547657.96
318	47481330.16
319	47285067.57
320	47239254.12
321	47079967.34
322	46910776.36
323	46789266.2
324	46745514.46
325	46700458.28
326	46559167.12
327	46436963.49
328	46236803.09
329	46187588.01
330	46103240.26
331	46064808.62
332	45929529.74
333	45811272.28
334	45634980.56
335	45536884.99
336	45484422.28
337	45443515.48
338	45307066.74
339	45167605.09
340	44934764.35
341	44865482.92
342	44729738
343	44685362.64
344	44574284.21
345	44521640.93
346	44472846.56
347	44435438.73
348	44206740.9
349	44075338.32
350	43940060.54
351	43878800.34
352	43776585.52
353	43641529.36
354	43525362.39
355	43409967.89
356	43297905.05
357	43203786.54
358	43148310.71
359	42999389.71
360	42937012.43
361	42845904.26
362	42711284.13
363	42492260.69
364	42425427.47
365	42377626.23
366	42349027
367	42223258.85
368	42159620.98
369	42093974.5
370	41978924.3
371	41867006.68
372	41822276.53
373	41795639.88
374	41725420.68
375	41699094.88
376	41660654.64
377	41498584.18
378	41339927.06
379	41260253.41
380	41227394.33
381	41202307.54
382	41179250.49
383	41127784.11
384	40990474.91
385	40966066.06
386	40866633.33
387	40814962.01
388	40718753.86
389	40556876.11
390	40529790.45
391	40416730.2
392	40392669.65
393	40360592.43
394	40270862.79
395	40219069.78
396	40199478.8
397	40021736.17
398	39898039.66
399	39861255.78
400	39740896.34
401	39654289.64
402	39601122.05
403	39568246.66
404	39519352.95
405	39418110.55
406	39304451.34
407	39173077.68
408	39016895.72
409	38924040.37
410	38785187.94
411	38741030.06
412	38648048.74
413	38612588.45
414	38591503.72
415	38547878.16
416	38517070.14
417	38486456.08
418	38469220.34
419	38444203.89
420	38400837.81
421	38322421.13
422	38214434.96
423	38196407.2
424	38176842.44
425	38159643.97
426	38142884.46
427	38114961.58
428	38029238.67
429	37993146.53
430	37954433.9
431	37864481.1
432	37751233.65
433	37625804.58
434	37593336.27
435	37431935.95
436	37287022.12
437	37169982.67
438	37077486.93
439	37041376.19
440	36970715.35
441	36848605.1
442	36779157.69
443	36691421.52
444	36638718.47
445	36606346.32
446	36496640.93
447	36404878
448	36379077.2
449	36264067.7
450	36177430.94
451	36087649.5
452	35926537.65
453	35821669.3
454	35759605.52
455	35729005.72
456	35642012.88
457	35567531.22
458	35500062.02
459	35414161.83
460	35378910.45
461	35289564.85
462	35161341.05
463	34998703.83
464	34967157.6
465	34892493.47
466	34812685.68
467	34789757.98
468	34697229.34
469	34682718.45
470	34580251.76
471	34489168.51
472	34392239.24
473	34281245.87
474	34229321.71
475	34165134
476	34147993.76
477	34054269.75
478	33981329.66
479	33921610.13
480	33909365.19
481	33831278.61
482	33766605.73
483	33751552.05
484	33647621.85
485	33618093.24
486	33546721.47
487	33520419.68
488	33450692.84
489	33319140.24
490	33238528.2
491	33208590.62
492	33187975.88
493	33154026.51
494	33071118.26
495	32942827.91
496	32924798.73
497	32858617.33
498	32805204.67
499	32789136.22
500	32730533.76
501	32681045.75
502	32667966.2
503	32578610.18
504	32502317.85
505	32449574.71
506	32370609.33
507	32314052.9
508	32300737.66
509	32283145.18
510	32211483.83
511	32196322.5
512	32128571.81
513	32082521.84
514	32032954.84
515	31970498.72
516	31829759.37
517	31811165.47
518	31781045.34
519	31710199.3
520	31695614.74
521	31647615.76
522	31619157.64
523	31519397.56
524	31436384.47
525	31371771.24
526	31319143.56
527	31294932.16
528	31228572.39
529	31151562.59
530	31096062.28
531	31076221.39
532	30996288.92
533	30902376.68
534	30893346.38
535	30879991.26
536	30795010.15
537	30722239.66
538	30589500.17
539	30523896.79
540	30471567.51
541	30404321.28
542	30350778.74
543	30291254.18
544	30217946.88
545	30137852.29
546	30013791.32
547	29944261.56
548	29873915.25
549	29842501.36
550	29767793.65
551	29737127.76
552	29713993.97
553	29626828.41
554	29575939.4
555	29527052.41
556	29413282.06
557	29295549.88
558	29172605.53
559	29118714.73
560	29066685.14
561	28995331.61
562	28952879.35
563	28883772.6
564	28823125.63
565	28785367.09
566	28675357.61
567	28609367.93
568	28536315.65
569	28436165.21
570	28380578.57
571	28319448.89
572	28299332.38
573	28238881.17
574	28192961.12
575	28130549.72
576	28090601.5
577	28004952.84
578	27954686.68
579	27931053.29
580	27887435.45
581	27804044.37
582	27706988.55
583	27658245.84
584	27625891.37
585	27564516.58
586	27523418.41
587	27431400.88
588	27334929.79
589	27241278.16
590	27152645.68
591	27095990.8
592	27074825.71
593	27040319.61
594	26995158.51
595	26951172.75
596	26898297.92
597	26841858.78
598	26821152.43
599	26800133.17
600	26748780.81
601	26712754.99
602	26650757.68
603	26608733.06
604	26588671.12
605	26541853.48
606	26448836.13
607	26395788.4
608	26324222.25
609	26311572.19
