iter	Passed	Remaining
0	46	46198
1	46	23345
2	47	15764
3	48	11966
4	48	9690
5	49	8165
6	49	7079
7	50	6264
8	51	5634
9	51	5126
10	52	4714
11	52	4334
12	53	4031
13	53	3771
14	54	3552
15	54	3362
16	55	3180
17	55	3025
18	55	2879
19	56	2746
20	56	2623
21	56	2516
22	56	2420
23	57	2335
24	57	2246
25	58	2182
26	58	2110
27	58	2044
28	59	1983
29	59	1925
30	59	1870
31	60	1818
32	60	1765
33	60	1719
34	60	1677
35	61	1636
36	61	1598
37	61	1558
38	61	1523
39	62	1490
40	62	1459
41	62	1429
42	62	1401
43	63	1373
44	63	1347
45	63	1322
46	64	1298
47	64	1275
48	64	1253
49	64	1232
50	65	1211
51	65	1191
52	65	1172
53	65	1154
54	66	1137
55	66	1120
56	66	1103
57	66	1088
58	67	1073
59	67	1057
60	67	1042
61	67	1028
62	68	1014
63	68	1001
64	68	988
65	68	976
66	69	962
67	69	951
68	69	940
69	70	930
70	70	919
71	70	907
72	70	897
73	70	887
74	71	878
75	71	869
76	71	860
77	72	851
78	72	843
79	72	834
80	72	826
81	73	817
82	73	809
83	73	801
84	73	792
85	73	785
86	74	778
87	74	770
88	74	763
89	74	756
90	75	750
91	75	744
92	75	737
93	75	732
94	76	726
95	76	720
96	76	714
97	77	708
98	77	703
99	77	697
100	77	692
101	78	687
102	78	682
103	78	676
104	78	670
105	78	665
106	79	661
107	79	656
108	79	651
109	79	647
110	80	642
111	80	638
112	80	634
113	81	630
114	81	626
115	81	622
116	81	618
117	82	614
118	82	610
119	82	606
120	82	602
121	83	599
122	83	595
123	83	592
124	84	588
125	84	585
126	84	581
127	84	578
128	85	575
129	85	572
130	85	568
131	85	565
132	86	562
133	86	559
134	86	555
135	87	553
136	87	550
137	87	547
138	87	544
139	88	541
140	88	538
141	88	535
142	88	532
143	89	530
144	89	527
145	89	524
146	89	521
147	90	518
148	90	516
149	90	513
150	90	510
151	91	507
152	91	505
153	91	503
154	91	500
155	92	498
156	92	496
157	92	493
158	92	491
159	93	488
160	93	486
161	93	484
162	93	482
163	94	479
164	94	477
165	94	475
166	94	473
167	95	471
168	95	469
169	95	467
170	95	464
171	96	462
172	96	459
173	96	457
174	96	456
175	96	454
176	97	452
177	97	450
178	97	448
179	98	446
180	98	445
181	98	442
182	98	441
183	99	439
184	99	436
185	99	435
186	99	433
187	99	431
188	100	430
189	100	428
190	100	426
191	100	424
192	101	423
193	101	421
194	101	419
195	101	418
196	102	416
197	102	414
198	102	413
199	102	411
200	103	410
201	103	408
202	103	407
203	104	405
204	104	404
205	104	402
206	104	401
207	105	399
208	105	397
209	105	396
210	105	394
211	105	393
212	106	391
213	106	390
214	106	389
215	106	387
216	107	386
217	107	385
218	107	384
219	107	382
220	108	381
221	108	380
222	108	378
223	109	377
224	109	376
225	109	375
226	109	373
227	110	372
228	110	371
229	110	370
230	110	369
231	111	367
232	111	366
233	111	365
234	111	364
235	112	362
236	112	361
237	112	360
238	112	359
239	113	358
240	113	357
241	113	356
242	113	355
243	114	353
244	114	352
245	114	351
246	115	350
247	115	349
248	115	348
249	115	347
250	116	346
251	116	345
252	116	344
253	116	343
254	117	342
255	117	341
256	117	340
257	117	339
258	118	338
259	118	337
260	118	336
261	118	334
262	119	334
263	119	333
264	119	332
265	119	331
266	120	330
267	120	329
268	120	328
269	121	327
270	121	326
271	121	325
272	121	324
273	122	323
274	122	322
275	122	321
276	122	320
277	123	319
278	123	318
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	125	313
285	125	312
286	125	312
287	125	311
288	126	310
289	126	309
290	126	308
291	126	307
292	127	306
293	127	305
294	127	305
295	127	304
296	128	303
297	128	302
298	128	301
299	128	300
300	129	300
301	129	299
302	129	298
303	129	297
304	130	296
305	130	295
306	130	295
307	130	294
308	131	293
309	131	292
310	131	291
311	132	291
312	132	290
313	132	289
314	132	288
315	133	287
316	133	287
317	133	286
318	133	285
319	134	284
320	134	284
321	134	283
322	134	282
323	135	281
324	135	281
325	135	280
326	135	279
327	136	278
328	136	278
329	136	277
330	136	276
331	137	275
332	137	275
333	137	274
334	137	273
335	138	273
336	138	272
337	138	271
338	138	271
339	139	270
340	139	269
341	139	268
342	140	268
343	140	267
344	140	266
345	140	266
346	141	265
347	141	264
348	141	264
349	141	263
350	142	262
351	142	262
352	142	261
353	142	260
354	143	260
355	143	259
356	143	258
357	143	258
358	144	257
359	144	256
360	144	256
361	145	255
362	145	254
363	145	254
364	145	253
365	146	253
366	146	252
367	146	251
368	146	251
369	147	250
370	147	249
371	147	249
372	147	248
373	148	248
374	148	247
375	148	246
376	148	246
377	149	245
378	149	244
379	149	244
380	149	243
381	150	242
382	150	242
383	150	241
384	150	241
385	151	240
386	151	239
387	151	239
388	151	238
389	152	238
390	152	237
391	152	236
392	153	236
393	153	235
394	153	235
395	153	234
396	154	233
397	154	233
398	154	232
399	154	232
400	155	231
401	155	231
402	155	230
403	155	230
404	156	229
405	156	228
406	156	228
407	156	227
408	157	227
409	157	226
410	157	226
411	157	225
412	158	224
413	158	224
414	158	223
415	159	223
416	159	222
417	159	222
418	159	221
419	160	221
420	160	220
421	160	220
422	160	219
423	161	218
424	161	218
425	161	217
426	161	217
427	162	216
428	162	216
429	162	215
430	162	215
431	163	214
432	163	214
433	163	213
434	164	213
435	164	212
436	164	211
437	164	211
438	165	210
439	165	210
440	165	209
441	165	209
442	166	208
443	166	208
444	166	207
445	166	207
446	167	206
447	167	206
448	167	205
449	167	205
450	168	204
451	168	204
452	168	203
453	169	203
454	169	202
455	169	202
456	169	201
457	170	201
458	170	200
459	170	200
460	170	199
461	171	199
462	171	198
463	171	198
464	171	197
465	172	197
466	172	196
467	172	196
468	172	195
469	173	195
470	173	194
471	173	194
472	173	193
473	174	193
474	174	192
475	174	192
476	174	191
477	175	191
478	175	190
479	175	190
480	176	189
481	176	189
482	176	188
483	176	188
484	176	187
485	177	187
486	177	186
487	177	186
488	177	185
489	178	185
490	178	185
491	178	184
492	179	184
493	179	183
494	179	183
495	179	182
496	180	182
497	180	181
498	180	181
499	180	180
500	181	180
501	181	179
502	181	179
503	181	179
504	182	178
505	182	178
506	182	177
507	182	177
508	183	176
509	183	176
510	183	175
511	184	175
512	184	174
513	184	174
514	184	174
515	185	173
516	185	173
517	185	172
518	185	172
519	186	171
520	186	171
521	186	170
522	186	170
523	187	170
524	187	169
525	187	169
526	187	168
527	188	168
528	188	167
529	188	167
530	189	166
531	189	166
532	189	166
533	189	165
534	190	165
535	190	164
536	190	164
537	190	163
538	191	163
539	191	163
540	191	162
541	191	162
542	192	161
543	192	161
544	192	160
545	193	160
546	193	160
547	193	159
548	193	159
549	194	158
550	194	158
551	194	157
552	194	157
553	195	157
554	195	156
555	195	156
556	195	155
557	196	155
558	196	154
559	196	154
560	196	154
561	197	153
562	197	153
563	197	152
564	197	152
565	198	151
566	198	151
567	198	151
568	198	150
569	199	150
570	199	149
571	199	149
572	199	149
573	200	148
574	200	148
575	200	147
576	201	147
577	201	146
578	201	146
579	201	146
580	202	145
581	202	145
582	202	144
583	202	144
584	203	144
585	203	143
586	203	143
587	203	142
588	204	142
589	204	142
590	204	141
591	204	141
592	205	140
593	205	140
594	205	140
595	206	139
596	206	139
597	206	138
598	206	138
599	207	138
600	207	137
601	207	137
602	207	136
603	208	136
604	208	136
605	208	135
606	208	135
607	209	134
608	209	134
609	209	134
610	209	133
611	210	133
612	210	132
613	210	132
614	211	132
615	211	131
616	211	131
617	211	130
618	212	130
619	212	130
620	212	129
621	212	129
622	213	128
623	213	128
624	213	128
625	213	127
626	214	127
627	214	126
628	214	126
629	214	126
630	215	125
631	215	125
632	215	125
633	215	124
634	216	124
635	216	123
636	216	123
637	216	123
638	217	122
639	217	122
640	217	121
641	217	121
642	218	121
643	218	120
644	218	120
645	219	120
646	219	119
647	219	119
648	219	118
649	220	118
650	220	118
651	220	117
652	220	117
653	221	116
654	221	116
655	221	116
656	221	115
657	222	115
658	222	115
659	222	114
660	222	114
661	223	113
662	223	113
663	223	113
664	223	112
665	224	112
666	224	112
667	224	111
668	224	111
669	225	110
670	225	110
671	225	110
672	226	109
673	226	109
674	226	109
675	226	108
676	227	108
677	227	108
678	227	107
679	227	107
680	228	106
681	228	106
682	228	106
683	228	105
684	229	105
685	229	105
686	229	104
687	230	104
688	230	103
689	230	103
690	230	103
691	231	102
692	231	102
693	231	102
694	231	101
695	232	101
696	232	101
697	232	100
698	232	100
699	233	99
700	233	99
701	233	99
702	233	98
703	234	98
704	234	98
705	234	97
706	234	97
707	235	97
708	235	96
709	235	96
710	235	95
711	236	95
712	236	95
713	236	94
714	237	94
715	237	94
716	237	93
717	237	93
718	238	93
719	238	92
720	238	92
721	238	92
722	239	91
723	239	91
724	239	90
725	239	90
726	240	90
727	240	89
728	240	89
729	240	89
730	241	88
731	241	88
732	241	88
733	242	87
734	242	87
735	242	86
736	242	86
737	243	86
738	243	85
739	243	85
740	243	85
741	244	84
742	244	84
743	244	84
744	245	83
745	245	83
746	245	83
747	245	82
748	246	82
749	246	82
750	246	81
751	246	81
752	247	81
753	247	80
754	247	80
755	247	79
756	248	79
757	248	79
758	248	78
759	248	78
760	249	78
761	249	77
762	249	77
763	249	77
764	250	76
765	250	76
766	250	76
767	251	75
768	251	75
769	251	75
770	251	74
771	252	74
772	252	74
773	252	73
774	252	73
775	253	73
776	253	72
777	253	72
778	253	72
779	254	71
780	254	71
781	254	71
782	255	70
783	255	70
784	255	69
785	255	69
786	256	69
787	256	68
788	256	68
789	256	68
790	257	67
791	257	67
792	257	67
793	257	66
794	258	66
795	258	66
796	258	65
797	258	65
798	259	65
799	259	64
800	259	64
801	260	64
802	260	63
803	260	63
804	260	63
805	261	62
806	261	62
807	261	62
808	261	61
809	262	61
810	262	61
811	262	60
812	262	60
813	263	60
814	263	59
815	263	59
816	263	59
817	264	58
818	264	58
819	264	58
820	265	57
821	265	57
822	265	57
823	265	56
824	266	56
825	266	56
826	266	55
827	266	55
828	267	55
829	267	54
830	267	54
831	267	54
832	268	53
833	268	53
834	268	53
835	269	52
836	269	52
837	269	52
838	269	51
839	270	51
840	270	51
841	270	50
842	270	50
843	271	50
844	271	49
845	271	49
846	271	49
847	272	48
848	272	48
849	272	48
850	272	47
851	273	47
852	273	47
853	273	46
854	273	46
855	274	46
856	274	45
857	274	45
858	275	45
859	275	44
860	275	44
861	275	44
862	276	43
863	276	43
864	276	43
865	276	42
866	277	42
867	277	42
868	277	41
869	277	41
870	278	41
871	278	40
872	278	40
873	279	40
874	279	39
875	279	39
876	279	39
877	280	38
878	280	38
879	280	38
880	280	37
881	281	37
882	281	37
883	281	36
884	281	36
885	282	36
886	282	35
887	282	35
888	282	35
889	283	35
890	283	34
891	283	34
892	284	34
893	284	33
894	284	33
895	284	33
896	285	32
897	285	32
898	285	32
899	285	31
900	286	31
901	286	31
902	286	30
903	287	30
904	287	30
905	287	29
906	287	29
907	288	29
908	288	28
909	288	28
910	288	28
911	289	27
912	289	27
913	289	27
914	289	26
915	290	26
916	290	26
917	290	25
918	290	25
919	291	25
920	291	25
921	291	24
922	292	24
923	292	24
924	292	23
925	292	23
926	293	23
927	293	22
928	293	22
929	293	22
930	294	21
931	294	21
932	294	21
933	294	20
934	295	20
935	295	20
936	295	19
937	296	19
938	296	19
939	296	18
940	296	18
941	297	18
942	297	17
943	297	17
944	298	17
945	298	17
946	298	16
947	298	16
948	299	16
949	299	15
950	299	15
951	299	15
952	300	14
953	300	14
954	300	14
955	300	13
956	301	13
957	301	13
958	301	12
959	301	12
960	302	12
961	302	11
962	302	11
963	302	11
964	303	10
965	303	10
966	303	10
967	304	10
968	304	9
969	304	9
970	304	9
971	305	8
972	305	8
973	305	8
974	305	7
975	306	7
976	306	7
977	306	6
978	307	6
979	307	6
980	307	5
981	307	5
982	308	5
983	308	5
984	308	4
985	308	4
986	309	4
987	309	3
988	309	3
989	309	3
990	310	2
991	310	2
992	310	2
993	311	1
994	311	1
995	311	1
996	311	0
997	312	0
998	312	0
999	312	0
