iter	RMSE
0	108649390.8
1	107366123.4
2	106126422.4
3	105048958
4	103962626.7
5	102928089.7
6	101928116.4
7	100827270.6
8	100061589.7
9	99180625.35
10	98175957
11	97128451.51
12	96317630.51
13	95247029.8
14	94430913.82
15	93724623.94
16	92678995.42
17	91874899.03
18	91207546.71
19	90152954.98
20	89132626.23
21	88470258.64
22	87925608.55
23	87348430.09
24	86554922.64
25	85966195.99
26	85335989.79
27	84556124.75
28	83857256.03
29	83117662.11
30	82277027.49
31	81591516.88
32	80713418.15
33	79987746.75
34	79235813.28
35	78577843.55
36	77889369.7
37	77251060.51
38	76606827.69
39	76090551.2
40	75461820.33
41	74884384.38
42	74480575.09
43	73876807.67
44	73447488.08
45	72825442.42
46	72360353.24
47	71787447.97
48	71257746.6
49	70783300.13
50	70068376.52
51	69383844.26
52	68936244.03
53	68364991.81
54	67919786.62
55	67477480.73
56	67015574.92
57	66452726.09
58	66237400.67
59	65879520.44
60	65353900.87
61	64801844.93
62	64277143.59
63	63920513.45
64	63590794.48
65	63061999.31
66	62650054.47
67	62264083.74
68	61740590.46
69	61359629.94
70	61079442.13
71	60677725.95
72	60408749.44
73	60054304.64
74	59609474.16
75	59096614.49
76	58615153.38
77	58311126.89
78	57921011.66
79	57525358.18
80	57218869.11
81	56772047.72
82	56317683.5
83	55874625.42
84	55505136.72
85	55232114.71
86	54939393.44
87	54600822.85
88	54202034.36
89	53786440.18
90	53438057.91
91	53148801.28
92	52777034.42
93	52335127.31
94	52042575.78
95	51685375.77
96	51540212.12
97	51162870.65
98	50866988.81
99	50443625.83
100	50162181.53
101	49934796.01
102	49842186.01
103	49446827.33
104	49189500.2
105	48907841.98
106	48826714.6
107	48495507.83
108	48178366.87
109	47862883.59
110	47594985.94
111	47385339.95
112	47237032.23
113	47151671.39
114	46863684.9
115	46631648
116	46461370.08
117	46203663.95
118	46022394.75
119	45801645.45
120	45522798.73
121	45229353.87
122	45073016.3
123	44748837.98
124	44614247.32
125	44355645.84
126	44083269.91
127	43927334.76
128	43736124.66
129	43382714.61
130	43285483.62
131	42975386.32
132	42651401.35
133	42559737.77
134	42524860.28
135	42224382.57
136	41962417.08
137	41753746.53
138	41524354.15
139	41318706.55
140	41081082.34
141	40995712.58
142	40893417.6
143	40861923.4
144	40646831.09
145	40394698.06
146	40160558.99
147	40057157.54
148	39741762.67
149	39551719.33
150	39420666.5
151	39216435.45
152	39019722.28
153	38767033.22
154	38535832.07
155	38478511.41
156	38183763.18
157	37937111.31
158	37673154.97
159	37427668.83
160	37244281.57
161	37057888.58
162	36879407.35
163	36647676.82
164	36407114.71
165	36360666.6
166	36303651.89
167	36069642.71
168	35980579.86
169	35888100.87
170	35692076.76
171	35580574.36
172	35520456.23
173	35291053.8
174	35036458.33
175	35004726.56
176	34766523.35
177	34548959.67
178	34371187.35
179	34132693.55
180	33903612.96
181	33653201.25
182	33491691.09
183	33315628.78
184	33106222.21
185	32991960.63
186	32939243.27
187	32880536.97
188	32678144.78
189	32613209.67
190	32543106.64
191	32330931
192	32101173.55
193	32025040.6
194	31949287.29
195	31671892.5
196	31401991
197	31175540.04
198	31023579.82
199	30930754.2
200	30871464.81
201	30824758.75
202	30604186.42
203	30406104.18
204	30339820.44
205	30287225.59
206	30225257.98
207	30151371.41
208	30097270.71
209	29981361.26
210	29772667.78
211	29702295.05
212	29614463.32
213	29560296.49
214	29516485.58
215	29468899.21
