iter	Passed	Remaining
0	0	341
1	0	317
2	0	299
3	1	291
4	1	283
5	1	282
6	1	281
7	2	277
8	2	277
9	2	278
10	3	278
11	3	279
12	3	279
13	3	277
14	4	276
15	4	276
16	4	275
17	5	273
18	5	272
19	5	271
20	5	269
21	6	268
22	6	267
23	6	266
24	6	265
25	7	264
26	7	263
27	7	263
28	7	262
29	8	262
30	8	261
31	8	259
32	8	258
33	9	258
34	9	257
35	9	256
36	9	256
37	10	255
38	10	255
39	10	255
40	10	255
41	11	255
42	11	254
43	11	254
44	11	253
45	12	252
46	12	252
47	12	252
48	12	251
49	13	251
50	13	250
51	13	250
52	13	250
53	14	249
54	14	249
55	14	247
56	14	247
57	15	247
58	15	246
59	15	246
60	16	246
61	16	246
62	16	246
63	16	245
64	17	245
65	17	244
66	17	245
67	17	244
68	18	244
69	18	244
70	18	244
71	18	243
72	19	243
73	19	241
74	19	240
75	19	239
76	19	239
77	20	238
78	20	238
79	20	238
80	20	238
81	21	237
82	21	237
83	21	237
84	22	237
85	22	237
86	22	236
87	22	236
88	23	236
89	23	235
90	23	235
91	23	235
92	24	235
93	24	234
94	24	234
95	24	234
96	25	233
97	25	233
98	25	232
99	25	232
100	26	232
101	26	231
102	26	231
103	26	230
104	27	230
105	27	230
106	27	230
107	27	230
108	28	229
109	28	229
110	28	229
111	28	229
112	29	227
113	29	227
114	29	227
115	29	227
116	30	226
117	30	226
118	30	226
119	30	226
120	31	226
121	31	225
122	31	225
123	31	225
124	32	224
125	32	224
126	32	224
127	32	224
128	33	223
129	33	223
130	33	223
131	33	222
132	34	222
133	34	222
134	34	222
135	34	222
136	35	221
137	35	221
138	35	221
139	36	221
140	36	221
141	36	220
142	36	219
143	36	219
144	37	219
145	37	218
146	37	219
147	38	218
148	38	218
149	38	218
150	38	218
151	39	217
152	39	217
153	39	217
154	39	217
155	40	216
156	40	216
157	40	216
158	40	216
159	41	215
160	41	215
161	41	215
162	41	215
163	42	215
164	42	215
165	42	215
166	43	214
167	43	214
168	43	214
169	43	214
170	44	213
171	44	213
172	44	214
173	45	214
174	45	214
175	45	214
176	46	214
177	46	213
178	46	213
179	46	212
180	47	212
181	47	212
182	47	212
183	47	212
184	48	211
185	48	211
186	48	211
187	48	210
188	49	210
189	49	210
190	49	210
191	49	209
192	50	209
193	50	209
194	50	209
195	50	209
196	51	208
197	51	208
198	51	208
199	52	208
200	52	207
201	52	207
202	52	207
203	53	207
204	53	206
205	53	206
206	53	206
207	54	205
208	54	205
209	54	205
210	54	205
211	55	204
212	55	204
213	55	204
214	55	204
215	56	204
216	56	204
217	57	205
218	57	205
219	57	204
220	58	204
221	58	204
222	58	204
223	59	205
224	59	206
225	60	206
226	61	207
227	61	207
228	61	208
229	62	208
230	62	208
231	62	208
232	63	208
233	63	208
234	64	208
235	64	208
236	64	208
237	65	208
238	65	208
239	65	208
240	66	209
241	66	208
242	66	208
243	67	208
244	67	208
245	68	208
246	68	208
247	68	208
248	69	208
249	69	208
250	70	209
251	70	209
252	70	209
253	71	209
254	71	209
255	72	209
256	72	209
257	72	209
258	73	209
259	73	209
